date,sku_id,units_sold,injected_anomaly
2023-01-01,SKU-001,145,False
2023-01-02,SKU-001,148,False
2023-01-03,SKU-001,165,False
2023-01-04,SKU-001,161,False
2023-01-05,SKU-001,157,False
2023-01-06,SKU-001,150,False
2023-01-07,SKU-001,382,True
2023-01-08,SKU-001,157,False
2023-01-09,SKU-001,149,False
2023-01-10,SKU-001,172,False
2023-01-11,SKU-001,184,False
2023-01-12,SKU-001,163,False
2023-01-13,SKU-001,148,False
2023-01-14,SKU-001,146,False
2023-01-15,SKU-001,144,False
2023-01-16,SKU-001,158,False
2023-01-17,SKU-001,173,False
2023-01-18,SKU-001,168,False
2023-01-19,SKU-001,175,False
2023-01-20,SKU-001,147,False
2023-01-21,SKU-001,138,False
2023-01-22,SKU-001,154,False
2023-01-23,SKU-001,170,False
2023-01-24,SKU-001,178,False
2023-01-25,SKU-001,179,False
2023-01-26,SKU-001,170,False
2023-01-27,SKU-001,156,False
2023-01-28,SKU-001,161,False
2023-01-29,SKU-001,158,False
2023-01-30,SKU-001,165,False
2023-01-31,SKU-001,437,True
2023-02-01,SKU-001,188,False
2023-02-02,SKU-001,183,False
2023-02-03,SKU-001,169,False
2023-02-04,SKU-001,161,False
2023-02-05,SKU-001,161,False
2023-02-06,SKU-001,169,False
2023-02-07,SKU-001,177,False
2023-02-08,SKU-001,174,False
2023-02-09,SKU-001,184,False
2023-02-10,SKU-001,159,False
2023-02-11,SKU-001,165,False
2023-02-12,SKU-001,157,False
2023-02-13,SKU-001,177,False
2023-02-14,SKU-001,186,False
2023-02-15,SKU-001,197,False
2023-02-16,SKU-001,184,False
2023-02-17,SKU-001,161,False
2023-02-18,SKU-001,163,False
2023-02-19,SKU-001,170,False
2023-02-20,SKU-001,165,False
2023-02-21,SKU-001,196,False
2023-02-22,SKU-001,189,False
2023-02-23,SKU-001,173,False
2023-02-24,SKU-001,169,False
2023-02-25,SKU-001,157,False
2023-02-26,SKU-001,157,False
2023-02-27,SKU-001,171,False
2023-02-28,SKU-001,207,False
2023-03-01,SKU-001,193,False
2023-03-02,SKU-001,183,False
2023-03-03,SKU-001,170,False
2023-03-04,SKU-001,166,False
2023-03-05,SKU-001,169,False
2023-03-06,SKU-001,175,False
2023-03-07,SKU-001,197,False
2023-03-08,SKU-001,196,False
2023-03-09,SKU-001,191,False
2023-03-10,SKU-001,187,False
2023-03-11,SKU-001,177,False
2023-03-12,SKU-001,188,False
2023-03-13,SKU-001,193,False
2023-03-14,SKU-001,201,False
2023-03-15,SKU-001,193,False
2023-03-16,SKU-001,200,False
2023-03-17,SKU-001,174,False
2023-03-18,SKU-001,185,False
2023-03-19,SKU-001,173,False
2023-03-20,SKU-001,190,False
2023-03-21,SKU-001,189,False
2023-03-22,SKU-001,203,False
2023-03-23,SKU-001,171,False
2023-03-24,SKU-001,172,False
2023-03-25,SKU-001,176,False
2023-03-26,SKU-001,168,False
2023-03-27,SKU-001,181,False
2023-03-28,SKU-001,197,False
2023-03-29,SKU-001,204,False
2023-03-30,SKU-001,200,False
2023-03-31,SKU-001,170,False
2023-04-01,SKU-001,178,False
2023-04-02,SKU-001,172,False
2023-04-03,SKU-001,191,False
2023-04-04,SKU-001,206,False
2023-04-05,SKU-001,192,False
2023-04-06,SKU-001,183,False
2023-04-07,SKU-001,179,False
2023-04-08,SKU-001,168,False
2023-04-09,SKU-001,181,False
2023-04-10,SKU-001,193,False
2023-04-11,SKU-001,215,False
2023-04-12,SKU-001,201,False
2023-04-13,SKU-001,192,False
2023-04-14,SKU-001,182,False
2023-04-15,SKU-001,181,False
2023-04-16,SKU-001,163,False
2023-04-17,SKU-001,185,False
2023-04-18,SKU-001,184,False
2023-04-19,SKU-001,185,False
2023-04-20,SKU-001,189,False
2023-04-21,SKU-001,177,False
2023-04-22,SKU-001,172,False
2023-04-23,SKU-001,165,False
2023-04-24,SKU-001,179,False
2023-04-25,SKU-001,185,False
2023-04-26,SKU-001,185,False
2023-04-27,SKU-001,181,False
2023-04-28,SKU-001,188,False
2023-04-29,SKU-001,176,False
2023-04-30,SKU-001,168,False
2023-05-01,SKU-001,168,False
2023-05-02,SKU-001,198,False
2023-05-03,SKU-001,38,True
2023-05-04,SKU-001,190,False
2023-05-05,SKU-001,186,False
2023-05-06,SKU-001,175,False
2023-05-07,SKU-001,160,False
2023-05-08,SKU-001,169,False
2023-05-09,SKU-001,192,False
2023-05-10,SKU-001,191,False
2023-05-11,SKU-001,183,False
2023-05-12,SKU-001,174,False
2023-05-13,SKU-001,158,False
2023-05-14,SKU-001,165,False
2023-05-15,SKU-001,183,False
2023-05-16,SKU-001,180,False
2023-05-17,SKU-001,212,False
2023-05-18,SKU-001,199,False
2023-05-19,SKU-001,171,False
2023-05-20,SKU-001,166,False
2023-05-21,SKU-001,162,False
2023-05-22,SKU-001,163,False
2023-05-23,SKU-001,182,False
2023-05-24,SKU-001,204,False
2023-05-25,SKU-001,185,False
2023-05-26,SKU-001,156,False
2023-05-27,SKU-001,163,False
2023-05-28,SKU-001,176,False
2023-05-29,SKU-001,168,False
2023-05-30,SKU-001,35,True
2023-05-31,SKU-001,193,False
